20 |2024-04-27 00:20:08.8444 |DEBUG |Tasl1 |Task1.Pages.FinalList.ListModel.OnGet |List Page on get method completed
20 |2024-04-27 00:20:10.2517 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |Calling List on get method
20 |2024-04-27 00:20:10.2517 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetching Record From DB
20 |2024-04-27 00:20:10.2791 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetched Record From DB count - 2
20 |2024-04-27 00:20:10.2791 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |List Page on get method completed
4 |2024-04-27 00:20:13.7925 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGet |Calling List on get method
4 |2024-04-27 00:20:13.7925 |DEBUG |Data Layer |DataLayer.ProjectDB.GetAll |Fetching Record From DB
4 |2024-04-27 00:20:13.8192 |DEBUG |Data Layer |DataLayer.ProjectDB.GetAll |Fetched Record From DB count - 1
4 |2024-04-27 00:20:13.8192 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGet |List Page on get method completed
6 |2024-04-27 00:20:16.8513 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |Calling List on get method
6 |2024-04-27 00:20:16.8513 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetching Record From DB
6 |2024-04-27 00:20:16.8788 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetched Record From DB count - 1
6 |2024-04-27 00:20:16.8788 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |List Page on get method completed
9 |2024-04-27 00:20:19.3420 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGet |Calling List on get method
9 |2024-04-27 00:20:19.3420 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetAll |Fetching Expense From DB
9 |2024-04-27 00:20:19.3711 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetAll |Fetched Record From DB count - 1
9 |2024-04-27 00:20:19.3711 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGet |List Page on get method completed
6 |2024-04-27 00:20:28.9746 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGet |Calling List on get method
6 |2024-04-27 00:20:28.9830 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetAll |Fetching Expense From DB
