40 |2024-04-27 00:39:47.5293 |DEBUG |Data Layer |DataLayer.ExpenseDB.Add |Adding Expense to DB
40 |2024-04-27 00:39:47.5659 |DEBUG |Data Layer |DataLayer.ExpenseDB.Add |Added Expense to DB
40 |2024-04-27 00:39:47.5659 |DEBUG |Service Layer |ServiceLayer.ExpenseManager.Add |Added expense to DB
40 |2024-04-27 00:39:47.5659 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGet |Calling List on get method
40 |2024-04-27 00:39:47.5659 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetAll |Fetching Expense From DB
40 |2024-04-27 00:39:47.5757 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetAll |Fetched Record From DB count - 1
40 |2024-04-27 00:39:47.5757 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGet |List Page on get method completed
39 |2024-04-27 00:39:49.6847 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetching Record From DB
39 |2024-04-27 00:39:49.7134 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetched Record From DB count - 3
39 |2024-04-27 00:39:49.7134 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetching Record From DB
39 |2024-04-27 00:39:49.7355 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetched Record From DB count - 3
39 |2024-04-27 00:39:49.7355 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
39 |2024-04-27 00:39:49.7576 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 3
35 |2024-04-27 00:40:01.5293 |DEBUG |Service Layer |ServiceLayer.ExpenseManager.Add |Adding Expense
35 |2024-04-27 00:40:01.5293 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetByName |Fetching Expense to DB by name
35 |2024-04-27 00:40:01.5605 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetByName |Fetching Expense to DB by Name
