22 |2024-04-27 01:34:22.3699 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetAll |Fetched Record From DB count - 3
22 |2024-04-27 01:34:22.3699 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGet |List Page on get method completed
12 |2024-04-27 01:34:26.1175 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetching Record From DB
12 |2024-04-27 01:34:26.1494 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetched Record From DB count - 2
12 |2024-04-27 01:34:26.1494 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetching Record From DB
12 |2024-04-27 01:34:26.1846 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetched Record From DB count - 3
12 |2024-04-27 01:34:26.1846 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
12 |2024-04-27 01:34:26.2085 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 3
24 |2024-04-27 01:34:37.3420 |DEBUG |Service Layer |ServiceLayer.ExpenseManager.Add |Adding Expense
24 |2024-04-27 01:34:37.3420 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetByName |Fetching Expense to DB by name
24 |2024-04-27 01:34:37.3866 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetByName |Fetching Expense to DB by Name
24 |2024-04-27 01:34:37.3866 |DEBUG |Service Layer |ServiceLayer.ExpenseManager.Add |Not Added Expense to DB
22 |2024-04-27 01:34:42.1214 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGet |Calling List on get method
22 |2024-04-27 01:34:42.1214 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetAll |Fetching Expense From DB
22 |2024-04-27 01:34:42.1627 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetAll |Fetched Record From DB count - 3
22 |2024-04-27 01:34:42.1627 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGet |List Page on get method completed
24 |2024-04-27 01:34:47.1186 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGetDelete |Calling List on Get By Delete:4 method
24 |2024-04-27 01:34:47.1186 |DEBUG |Data Layer |DataLayer.ExpenseDB.Delete |Deleting Expense to DB
24 |2024-04-27 01:34:47.1822 |DEBUG |Data Layer |DataLayer.ExpenseDB.Delete |Deleting Expense to DB
24 |2024-04-27 01:34:47.1822 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGetDelete |Called List on Get By Delete:4 method
25 |2024-04-27 01:34:47.1938 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGet |Calling List on get method
25 |2024-04-27 01:34:47.1938 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetAll |Fetching Expense From DB
25 |2024-04-27 01:34:47.1938 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetAll |Fetched Record From DB count - 2
25 |2024-04-27 01:34:47.1938 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGet |List Page on get method completed
25 |2024-04-27 01:34:50.8726 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetching Record From DB
